,기간,자치구행정동명,한식,용달운송,부동산,옷가게,주점,미용실,슈퍼마켓,분식,세탁소,노래방,편의점,치킨집,카센터,과일채소가게,정육점,중국집,당구장,빵집,pc방
40,2015,강북구 번1동,128,66,53,35,71,54,27,25,18,30,26,7,8,7,8,7,5,7,4
41,2015,강북구 번2동,22,96,12,1,8,17,19,6,10,4,4,4,9,1,4,2,3,2,3
42,2015,강북구 번3동,29,70,14,6,14,24,13,6,10,3,10,10,4,2,6,2,3,5,3
43,2015,강북구 삼각산동,44,79,39,16,21,25,10,14,12,0,6,7,0,7,10,5,1,7,2
44,2015,강북구 삼양동,62,125,29,22,28,49,40,10,18,10,9,10,3,6,8,4,4,8,5
45,2015,강북구 송중동,171,109,57,60,104,58,34,28,21,33,18,18,17,15,16,13,8,12,5
46,2015,강북구 송천동,173,117,69,39,111,77,44,31,25,17,15,19,20,15,16,12,6,5,3
47,2015,강북구 수유1동,120,95,34,79,37,35,24,16,15,13,11,4,12,32,18,9,6,5,3
48,2015,강북구 수유2동,88,91,39,19,43,54,23,16,14,16,14,12,16,4,11,5,7,7,5
49,2015,강북구 수유3동,273,70,68,67,164,62,34,22,17,103,25,16,14,25,19,15,14,11,12
50,2015,강북구 우이동,175,63,15,33,62,22,29,16,8,21,11,9,6,6,13,5,6,5,0
51,2015,강북구 인수동,88,156,41,23,34,53,37,21,28,9,17,5,12,16,17,8,2,4,6
52,2015,강서구 가양1동,92,77,53,9,22,25,13,12,12,11,19,5,33,3,5,7,5,4,0
53,2015,강서구 가양2동,27,63,18,29,8,16,6,8,10,4,5,7,1,4,5,1,3,3,3
54,2015,강서구 가양3동,19,81,12,20,4,15,10,4,8,0,2,3,1,2,3,4,0,3,0
55,2015,강서구 공항동,147,96,40,18,73,38,24,17,14,26,24,8,23,2,6,10,6,5,3
56,2015,강서구 등촌1동,117,85,60,50,40,31,14,23,14,16,21,11,24,4,4,4,7,8,3
57,2015,강서구 등촌2동,32,60,21,7,17,23,11,14,9,4,9,12,4,1,4,3,2,5,1
58,2015,강서구 등촌3동,118,124,58,150,31,46,30,27,17,17,18,15,17,3,12,12,5,15,6
59,2015,강서구 발산1동,81,174,51,38,26,48,33,45,15,7,15,16,11,21,16,7,5,18,3
60,2015,강서구 방화1동,143,190,104,65,61,86,28,26,26,27,26,26,21,23,26,11,9,12,5
61,2015,강서구 방화2동,122,128,45,198,63,44,25,19,13,23,18,10,20,3,8,9,7,14,6
62,2015,강서구 방화3동,32,109,23,15,13,25,13,8,14,3,12,6,3,1,0,2,1,7,1
63,2015,강서구 염창동,108,113,75,23,35,48,22,20,25,15,16,11,20,5,9,8,7,14,6
64,2015,강서구 우장산동,75,123,80,32,36,63,26,18,21,18,18,12,11,5,12,7,5,11,4
65,2015,강서구 화곡1동,204,213,101,71,167,83,40,30,36,66,47,21,30,7,17,18,21,12,12
66,2015,강서구 화곡2동,21,103,19,15,17,29,19,8,8,4,7,2,5,5,3,2,4,3,2
